username,has_profile_pic,followers,following,post_count,follow_ratio,bio_length,contains_link,suspicious_keywords_present,mentions_count,emoji_in_bio,is_verified,digit_count_in_username,label
chaman133_1,FALSE,3,2,0,1.5,0,FALSE,FALSE,0,FALSE,FALSE,4,1
txhakhxn,TRUE,362,345,0,1.05,10,FALSE,FALSE,0,FALSE,FALSE,0,1
rifak_2k4,TRUE,469,313,1,1.5,15,FALSE,FALSE,0,TRUE,FALSE,2,1
aafin__18,TRUE,165,130,2,1.27,0,FALSE,FALSE,0,FALSE,FALSE,2,1
bhoomiibafna,TRUE,678,504,3,1.35,22,FALSE,FALSE,0,TRUE,FALSE,0,1
nabeel.shaikh._,TRUE,353,413,1,0.85,42,FALSE,FALSE,0,TRUE,FALSE,0,1
_.hriday29._,TRUE,569,802,3,0.71,0,FALSE,FALSE,0,FALSE,FALSE,2,1
zulfiqargoesinsta,TRUE,1080,1136,23,0.95,40,FALSE,FALSE,0,TRUE,FALSE,0,1
iazma25,TRUE,143,215,9,0.67,66,FALSE,FALSE,0,TRUE,FALSE,2,1
vaidehi.gadekar,TRUE,263,783,12,0.34,42,FALSE,FALSE,0,TRUE,FALSE,0,1
sunnyadav_15,TRUE,264,228,3,1.16,12,FALSE,FALSE,0,TRUE,FALSE,2,1
rxxziii_,TRUE,13388,964,0,13.89,54,FALSE,FALSE,1,TRUE,FALSE,0,1
_lokesh_naidu_07,TRUE,1831,857,4,2.14,140,FALSE,FALSE,2,TRUE,FALSE,2,1
_vish_2996,TRUE,1447,1123,165,1.29,21,TRUE,FALSE,0,TRUE,FALSE,4,1
ft.ipshita,TRUE,1142,788,23,1.45,48,FALSE,FALSE,1,TRUE,FALSE,0,1
azimshah_0111,TRUE,233,55,8,4.24,20,FALSE,FALSE,0,FALSE,FALSE,4,1
vedant_5p22,TRUE,360,688,5,0.52,0,FALSE,FALSE,0,FALSE,FALSE,3,1
amaanpatankar,TRUE,304,333,3,0.91,0,FALSE,FALSE,0,FALSE,FALSE,0,1
musheerme,TRUE,112,118,3,0.95,8,FALSE,FALSE,0,TRUE,FALSE,0,1
sujal_bhor_5,TRUE,343,306,5,1.12,59,FALSE,FALSE,0,FALSE,FALSE,1,1
shreyashdesai_04,TRUE,249,339,2,0.73,0,FALSE,FALSE,0,FALSE,FALSE,2,1
unsiya_nawaz,TRUE,337,1301,48,0.26,0,TRUE,FALSE,0,FALSE,FALSE,0,1
abh1sh3.k,TRUE,1364,1315,2,1.04,21,FALSE,FALSE,0,TRUE,FALSE,2,1
